type,salary,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,company_logo_url,remote,skill0,level0,skill1,level1,skill2,level2
b2b,20000,DevOps Engineer,Jana Pawła II 22,Warszawa,PL,"Jana Pawła II 22, Warszawa",devops,partly_remote,Conscensia,http://conscensia.com,180,mid,52.2355943,20.9980939,2022-01-08T18:00:14.714Z,true,conscensia-devops-engineer-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/b23752456163ef11009d41ad311f6b3e83cd1e94.jpg?1640107549,false,RabbitMQ,3,Kubernetes,3,Azure DevOps,3
permanent,15000,IT Project Manager,Fabryczna 5,Warszawa,PL,"Fabryczna 5, Warszawa",pm,remote,CloudFerro sp. z o.o.,http://www.cloudferro.com,100+,senior,52.2243919,21.0404569,2022-01-08T18:00:14.714Z,true,cloudferro-sp-z-o-o-it-project-manager,https://bucket.justjoin.it/offers/company_logos/thumb/acc7ac84ecc56ad00a37a66ed852525c76b0e0f2.png?1624953054,true,English,4,Team collaboration,4,Project Management in IT,5
b2b,17500,"Frontend Engineer (React.js, TypeScript)",Jana Pawła II 22,Warszawa,PL,"Jana Pawła II 22, Warszawa",javascript,partly_remote,Conscensia,http://conscensia.com,180,mid,52.2355943,20.9980939,2022-01-08T18:00:14.714Z,true,conscensia-frontend-engineer-react-js-typescript,https://bucket.justjoin.it/offers/company_logos/thumb/1ab1f10aca830072b24d31a90725deb24fad4352.jpg?1640107971,false,TypeScript,3,ReactJS,3,,
b2b,16000,Senior Elixir Developer,Grudzieniec 32/1,Poznań,PL,"Grudzieniec 32/1, Poznań",ruby,remote,Curiosum,https://curiosum.com,11-20,senior,52.4173349,16.9131792,2022-01-08T18:00:14.714Z,true,curiosum-senior-elixir-developer,https://bucket.justjoin.it/offers/company_logos/thumb/38f0890bd9d2700277fc90031d6bd2aa2b5eb541.png?1639590561,true,Phoenix,4,Elixir,4,Web Applications,5
b2b,29500,SAP Solutions Architect (WM),Marszałkowska 89,Warszawa,PL,"Marszałkowska 89, Warszawa",erp,remote,IIIT,http://iiit.pl,100+,senior,52.2281705,21.0116401,2022-01-08T18:00:14.714Z,true,iiit-sap-solutions-architect-wm,https://bucket.justjoin.it/offers/company_logos/thumb/776f84d50f2c73d9602d8571f46b624fa0ee4396.jpg?1639505666,true,ABAP,4,SAP WM,4,SAP,4
b2b,10000,React / React Native Developer (Gaming),Grudzieniec 32/1,Poznań,PL,"Grudzieniec 32/1, Poznań",javascript,remote,Curiosum,https://curiosum.com,11-20,mid,52.4173349,16.9131792,2022-01-08T18:00:14.714Z,true,curiosum-react-react-native-developer-gaming,https://bucket.justjoin.it/offers/company_logos/thumb/d70d656e150c58065448492ae998bf9df3ddbba9.png?1639589497,true,React Native,3,JavaScript,4,React,4
b2b,18500,iOS Developer (Swift),ul. Murckowska 14A,Katowice,PL,"ul. Murckowska 14A, Katowice",mobile,remote,eSky.pl,https://www.esky.pl/o-nas/start,501-1000,mid,50.2558672,19.0468198,2022-01-08T17:00:15.183Z,true,esky-pl-ios-developer-swift-katowice,https://bucket.justjoin.it/offers/company_logos/thumb/94d89f302d7fac68864f081ecdcd758a48fc1a53.png?1631522631,true,Appium,3,Combine,3,Swift,3
b2b,28000,Python Developer,Aleje Jerozolimskie,Warszawa,PL,"Aleje Jerozolimskie, Warszawa",python,remote,DevsData LLC,https://devsdata.com/,40,mid,52.2072628,20.945304,2022-01-08T17:00:15.183Z,true,devsdata-llc-platform-engineer-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/e48b918a8073973f069d47b8ce3c61d82fadedf5.png?1637597694,true,Docker,3,AWS,3,Python,3
b2b,20000,Middle/Senior DevOps Engineer (AWS),Jaworska 11-13,Wrocław,PL,"Jaworska 11-13, Wrocław",devops,remote,SoftServe,https://career.softserveinc.com/poland,800+,senior,51.1160613,16.9941675,2022-01-08T17:00:15.183Z,true,softserve-middle-senior-devops-engineer-aws,https://bucket.justjoin.it/offers/company_logos/thumb/c278a8d8269705c3c5efcfd926ef34fa381cd882.png?1634046048,true,Ansible,3,Terraform,3,AWS,4
b2b,26000,GCP Senior/Lead DevOps/Cloud Architect,Jaworska 11/13 Budynek B,Wrocław,PL,"Jaworska 11/13 Budynek B, Wrocław",devops,remote,SoftServe,https://career.softserveinc.com/poland,600+,senior,51.1153057,16.9938422,2022-01-08T17:00:15.183Z,true,softserve-gcp-senior-lead-devops-cloud-architect,https://bucket.justjoin.it/offers/company_logos/thumb/90018e16ef3a68323bd56dba53559ab2dc71539e.png?1623419183,true,Kubernetes,4,Terraform,4,GCP,4
b2b,17500,SAS / Data Engineer,Złota 59,Warszawa,PL,"Złota 59, Warszawa",data,remote,ITDS,http://www.itds.pl,200+,mid,52.2301216,21.0039547,2022-01-08T17:00:15.183Z,true,itds-sas-data-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/b8e9776c3cb8ee3c0ce650665e58a3dd970e60b4.png?1641314884,true,SAS RTDM,3,SAS CI,3,ETL,3
b2b,16400,Fullstack Developer (Python + React),Fabryczna 6,Wrocław,PL,"Fabryczna 6, Wrocław",python,remote,Grape Up,https://grapeup.com/,100+,mid,51.1124203,16.9942438,2022-01-08T17:00:15.183Z,false,grape-up-fullstack-developer-python-react,https://bucket.justjoin.it/offers/company_logos/thumb/f3e8af15a641ee95f0f97a119a89b63762144524.png?1641226605,true,Redux,3,React,3,Python,3
b2b,21000,Senior Frontend Developer,Puławska 182,Warszawa,PL,"Puławska 182, Warszawa",javascript,remote,7N,https://www.7n.com,800+,senior,52.1816941,21.0216558,2022-01-08T17:00:15.183Z,true,7n-senior-frontend-developer-b15e4bcc-5488-41f8-9feb-322090b5a61c,https://bucket.justjoin.it/offers/company_logos/thumb/710673f0eb210b3e23a659387e0115fdfb9d617b.png?1626260693,true,Angular 2+,4,TypeScript,4,JavaScript,4
